filename,umap_3d_kmeans,tsne_3d_kmeans,pca_3d_kmeans,pca_256D_kmeans,umap_3d_hdbscan,tsne_3d_hdbscan,umap_3d_silhouette,tsne_3d_silhouette,pca_3d_hdbscan,pca_256D_hdbscan,umap_20d_hdbscan,tsne_20d_hdbscan,ToReview,Prediction,ReviewReason,ReviewCluster
channelA_2025-05-16_17-02-38.wav,21,,20,4,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-02-48.wav,21,,20,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-02-53.wav,21,,20,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-03-03.wav,21,,1,4,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-03-13.wav,21,7,1,4,4,0,3,1,25,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-03-18.wav,21,,20,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-03-23.wav,21,,20,4,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-03-28.wav,21,,20,4,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-03-53.wav,21,,20,4,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-03-58.wav,21,,19,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-04-08.wav,21,,19,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-04-23.wav,21,,1,4,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-04-28.wav,21,,1,4,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-04-38.wav,21,,20,0,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-04-43.wav,21,,20,4,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-03.wav,21,,20,14,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-08.wav,21,7,19,12,4,0,3,1,0,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-13.wav,21,,20,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-18.wav,21,,19,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-23.wav,21,,20,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-28.wav,21,,20,14,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-33.wav,21,,20,14,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-38.wav,21,,20,14,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-48.wav,21,,20,0,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-53.wav,21,,19,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-10-58.wav,21,,19,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-11-03.wav,21,,19,12,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-11-08.wav,21,,19,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-11-13.wav,21,,19,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-11-18.wav,21,,19,12,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-11-23.wav,21,,20,14,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-11-33.wav,21,,19,0,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
